
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   79     33.4  0.2012   2.00   0.00    189.8   4.88
-- random
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     16.5  0.3847   1.00   0.00    194.5   4.33
   51     12.9  0.5650   1.48   0.52    201.1   4.60
   52     22.1  0.3298   2.00   0.00    204.2   4.69
   53     21.9  0.3227   2.00   0.00    201.9   4.61
   54     18.4  0.3654   1.00   0.00    198.5   4.57
   55     21.0  0.3479   1.00   0.00    207.5   4.77
   56     19.4  0.3712   1.51   0.49    198.6   4.64
   57     18.1  0.4201   1.00   0.00    203.6   4.94
   58     19.3  0.3928   1.80   1.20    206.6   5.05
   59     21.3  0.3396   2.00   0.00    198.5   4.75
   70     15.4  0.4283   2.00   0.00    197.1   4.62
   71     10.4  0.5942   1.00   0.00    192.6   4.21
   72     22.8  0.2797   1.00   0.00    203.6   4.54
   73     20.2  0.3525   1.14   0.86    205.1   4.90
   74     19.8  0.3846   1.00   0.00    200.6   4.30
   75     20.3  0.3632   1.74   0.26    206.3   4.54
   76     23.8  0.3165   1.00   1.00    205.4   4.47
   77     17.5  0.3920   2.00   0.00    198.6   5.10
   78     15.1  0.4583   2.05   0.95    199.3   4.42
   79     22.8  0.3116   2.00   0.00    198.4   4.87

==== CONFIRMATORY  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     44.3  0.2220   2.00   2.00    213.6   5.76      402
   81     53.7  0.1857   4.00   0.00    212.0   4.06        0
   82     47.4  0.2169   2.54   1.46    223.2   5.01       11
   83     36.4  0.2702   2.00   2.00    209.6   5.63        4
   84     49.5  0.2045   1.00   1.00    218.1   5.11        0
   85     43.1  0.2177   3.00   1.00    204.8   4.98      198
   86     35.0  0.2747   1.00   1.00    209.0   5.61        8
   87     41.8  0.2580   2.00   1.00    233.1   4.53        1
   88     48.0  0.2107   4.00   0.00    218.6   5.10       13
   89     34.4  0.2802   2.00   1.00    207.4   5.22        0
   90     47.3  0.2324   1.00   1.00    238.5   6.50       30
   91     41.2  0.2346   1.57   2.43    208.4   5.13       52
   92     52.6  0.1871   3.00   1.00    212.9   5.40       37
   93     38.0  0.2848   3.00   1.00    230.9   5.39        0
   94     36.5  0.2931   1.00   1.00    230.0   6.00        1
   95     46.4  0.2177   2.57   1.43    217.4   4.96        0
   96     41.8  0.2286   2.00   1.00    202.5   5.16       13
   97     38.7  0.2683   4.00   0.00    228.6   4.66    11821
